sku,name,old_image,new_image,source,confidence,status
FAMALL-038,LIMANCY Эссенция для ухода за кожей,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.660,needs-review
FAMALL-040,PREDAWN пластыри для стоп с травами,assets/images/products/famall-040-famallnetwork.jpg,assets/images/products/40-predawn-plastyri-dlya-stop-s-travami.jpg,project/local-file,0.950,updated
FAMALL-045,LIMANCY Разглаживающий шампунь против перхоти с женьшенем и оливковым маслом,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-046,LIMANCY Шампунь от перхоти с желтым имбирем,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.683,needs-review
FAMALL-048,LIMANCY Шампунь Против Выпадения Волос,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.727,needs-review
FAMALL-052,LIMANCY Эфирное масло для ухода против сухости волос,assets/images/products/placeholder.svg,assets/images/products/52-limancy-efirnoe-maslo-dlya-uhoda-protiv-suhosti-volos.jpg,project/local-file,0.950,updated
FAMALL-053,LIMANCY Освежающий солнцезащитный крем SPF50/50g,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.588,needs-review
FAMALL-054,LIMANCY Лосьон для тела с экстрактом полыни,assets/images/products/placeholder.svg,assets/images/products/54-limancy-loson-dlya-tela-s-ekstraktom-polyni.png,project/local-file,0.950,updated
FAMALL-057,LIMANCY кондиционердля волос с полынью,assets/images/products/placeholder.svg,assets/images/products/57-limancy-kondicionerdlya-volos-s-polynyu.jpg,project/local-file,0.950,updated
FAMALL-058,"LIMANCY Питательный и увлажняющий гель для душа из серии ""с шелком""",assets/images/products/placeholder.svg,assets/images/products/58-limancy-pitatelnyy-i-uvlazhnyayuschiy-gel-dlya-dusha-iz-serii-s-shelkom.png,project/local-file,0.950,updated
FAMALL-061,LIMANCY Укрепляющая и осветляющая маска для лица с женьшенем,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-064,LIMANCY Увлажняющая маска для лица с огуречным соком,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.673,needs-review
FAMALL-065,LIMANCY тоник с гиалуроновой кислотой №1,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.597,needs-review
FAMALL-066,LIMANCY гидрогель с гиалуроновой кислотой №2,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.604,needs-review
FAMALL-067,LIMANCY сыворотка с гиалуроновой кислотой №3,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.594,needs-review
FAMALL-070,BERCLEAN Жидкое мыло для рук с экстрактом ромашки,assets/images/products/famall-070-famallnetwork.jpg,,project/local-file-fuzzy,0.868,needs-review
FAMALL-076,LIMANCY Увлажняющее очищающее средство с Алоэ,assets/images/products/placeholder.svg,assets/images/products/76-limancy-uvlazhnyayuschee-ochischayuschee-sredstvo-s-aloe.png,project/local-file,0.950,updated
FAMALL-077,LIMANCY увлажняющий гель для душа с экстрактом молока,assets/images/products/placeholder.svg,assets/images/products/77-limancy-uvlazhnyayuschiy-gel-dlya-dusha-s-ekstraktom-moloka.png,project/local-file,0.950,updated
FAMALL-078,LIMANCY Мужские духи 50 мл,assets/images/products/famall-078-famallnetwork.jpg,,,0.000,not-found
FAMALL-079,LIMANCY №1 Духи/Parfum,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-080,LIMANCY Женские духи/Diva Parfum,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-081,BOCARE мужской спрей для задержки/ стойкость мужской силы,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.620,needs-review
FAMALL-083,SUTING Гигиенические прокладки - ночные+ удлиненные 360 мм. Ультра,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.937,needs-review
FAMALL-087,BOCARE Ухаживающие вкладыши для мужин,assets/images/products/famall-087-famallnetwork.jpg,,project/local-file-fuzzy,0.907,needs-review
FAMALL-088,Miaorou Детские очищающие салфетки 180*200/,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.667,needs-review
FAMALL-090,Miubaby специальное средство для стирки детских вещей,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-092,YIJIAN Мягкая детская зубная щётка с защитой зубов,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.967,needs-review
FAMALL-095,LIMANCY Увлажняющий воздушный кушон (натурального цвета 002) CC- кушон с запасным блоком,assets/images/products/placeholder.svg,assets/images/products/95-limancy-uvlazhnyayuschiy-vozdushnyy-kushon-naturalnogo-cveta-002-cc-kushon-s-zapasnym-b.png,project/local-file,0.950,updated
FAMALL-096,LIMANCY Крем для тела и ненакрашенного лица ( выравнивает текстуру кожи),assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.653,needs-review
FAMALL-097,LIMANCY Увлажняющий бальзам для губ с легким оттенком (светло-розовый）,assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.746,needs-review
FAMALL-098,LIMANCY Увлажняющий бальзам для губ с Алоэ,assets/images/products/famall-098-famallnetwork.jpg,assets/images/products/98-limancy-uvlazhnyayuschiy-balzam-dlya-gub-s-aloe.png,project/local-file,0.950,updated
FAMALL-099,MOREFUTURE пробиотический напиток с шиповником и овощами,assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-100,"MOREFUTURE Кофе с женьшенем, кордицепсом и ганодермой",assets/images/products/placeholder.svg,,,0.000,not-found
FAMALL-101,MOREFUTURE Витаминый конфеты с вкусом апельсина/ шипучие,assets/images/products/famall-101-famallnetwork.jpg,,,0.000,not-found
FAMALL-102,MOREFUTURE Чай из кукурузных рылец,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.763,needs-review
FAMALL-103,Miao Rou Бумага из бамбукового волокна натурального цвета в рулонах,assets/images/products/famall-103-famallnetwork.jpg,,,0.000,not-found
FAMALL-104,Miao Rou Детские влажные салфетки80 шт. (180ммх200мм),assets/images/products/placeholder.svg,,project/local-file-fuzzy,0.783,needs-review
FAMALL-105,Miao Rou Бамбуковые носовые платочки 10 х,assets/images/products/placeholder.svg,,global.wildberries.ru/brands/2683531-famall,0.612,needs-review
